top_competitors,city,state,country,latitude,longitude
Alleguard - Huntington,Grove City,OH,United States,39.8821935,-83.0935377
Alleguard - Huntington,Bastrop,TX,United States,30.1104947,-97.3152701
Alleguard - Huntington,Cave Spring ,GA,United States,34.1075975,-85.33634339999999
Cellofoam,Whiteland,IN,United States,39.5500485,-86.0797079
Cellofoam,Sallisaw,OK,United States,35.4603711,-94.7874463
Cellofoam,Conyers,GA,United States,33.6676103,-84.01769039999999
Cellofoam,Gainesville,GA,United States,34.2978794,-83.8240663
Cellofoam,Orlando,FL,United States,28.5383832,-81.3789269
Cellofoam,Fredericksburg,VA,United States,38.3031837,-77.4605399
Cellofoam,Winchester,VA,United States,39.1856597,-78.1633341
Modern Polymers,Cherryville,NC,United States,35.3789361,-81.3795737
EFP,Reno,NV,United States,39.529919,-119.8142691
EFP,Casa Granda,AZ,United States,32.9110027,-111.7733902
EFP,Evansville,IN,United States,37.9715592,-87.5710898
EFP,La vergne,TN,United States,36.0156178,-86.5819394
EFP,Decatur,AL,United States,34.6059253,-86.9833417
EFP,Bishopville,SC,United States,34.2182107,-80.2484056
Aptco,McFarland,CA,United States,35.6780104,-119.2292748
Tempo Precision Molded Foam,Visalia,CA,United States,36.3301329,-119.2966367
ACH Foam Technologies,McKinney,TX,United States,33.1983388,-96.6389342
ACH Foam Technologies,Westminster,CO,United States,39.8366528,-105.0372046
Atlas Molded Products,Sylmar,CA,United States,34.2994874,-118.4588292
Atlas Molded Products,Denver,CO,United States,39.7392358,-104.990251
Atlas Molded Products,Murray,UT,United States,40.6668916,-111.8879909
Atlas Molded Products,Reno,NV,United States,39.529919,-119.8142691
Atlas Molded Products,Kingman,AZ,United States,35.189443,-114.0530065
Atlas Molded Products,E Arlington,TX,United States,32.735687,-97.10806559999999
Atlas Molded Products,Byron Center,MI,United States,42.8122508,-85.7228061
Atlas Molded Products,Fond du Lac,WI,United States,43.7730448,-88.4470508
Atlas Molded Products,Fredericktown,MO,United States,37.55977540000001,-90.2940069
Atlas Molded Products,Kansas City,KS,United States,39.11553139999999,-94.62678729999999
Atlas Molded Products,Perryville,MO,United States,37.7242202,-89.8612196
Atlas Molded Products,Washington,IA,United States,41.30140770000001,-91.69164169999999
Atlas Molded Products,Gainesville,GA,United States,34.2978794,-83.8240663
Sonoco,Ridgeway,VA,United States,36.5768046,-79.8583721
Sonoco,Findlay,OH,United States,41.0391283,-83.6502309
Sonoco,Owosso,MI,United States,42.9978049,-84.1766358
Sonoco,Tullahoma,TN,United States,35.3620235,-86.20943419999999
Sonoco,Mt. Pleasant,TN,United States,35.5342414,-87.20695409999999
Sonoco,Shelbyville,KY,United States,38.2120144,-85.2235666
Sonoco,Colorado Springs,CO,United States,38.8338816,-104.8213634
Cold Keepers,Mcfarland,CA,United States,35.6780104,-119.2292748
Styrotech,Thomasville,GA,United States,30.8365815,-83.9787808
OpCO,Brooklyn Park,MN,United States,45.0941315,-93.3563405
Plastillite,Latrobe,PA,United States,40.3211808,-79.37948109999999
Houston Foam Plastics,Omaha,NE,United States,41.2565369,-95.9345034
Houston Foam Plastics,Houston,TX,United States,29.7600771,-95.37011079999999
Imperial Foam & Insulation,San Antonio,TX,United States,29.4251905,-98.4945922
Marko Foam,Ormond Beach,FL,United States,29.2858129,-81.0558894
Marko Foam,Huntington Beach,CA,United States,33.6594835,-117.9988026
Michigan Foam,Salt Lake City ,UT,United States,40.7607793,-111.8910474
Pal Pac,Wyoming,MI,United States,42.9133602,-85.7053085
Branch River Plastics,Ottawa,OH,United States,41.0192185,-84.0471666
FMI-EPS,Smithfield,RI,United States,41.9220496,-71.54951009999999
Polar Central,Post Falls,ID,United States,47.7179578,-116.9515856
Mister Packaging,Prospect,CT,United States,41.5023192,-72.9787163
ThermaFoam,Anaheim,CA,United States,33.8365932,-117.9143012
Robin II,Hillsboro,TX,United States,32.0109886,-97.13000609999999
Foam Pack Industries,Markesan,WI,United States,43.7072047,-88.9901122
Clyde Tool & Die,Springfield,NJ,United States,40.7016937,-74.3222146
DiversiFoam Products,Clyde,OH,United States,41.30422009999999,-82.975192
Beaver Plastics,Rockford,MN,United States,45.0872861,-93.74150929999999
Aqua-Pak Industries Ltd,Watertown,SD,United States,44.8994088,-97.1150732
Creative Packaging,Shelbyville,KY,United States,38.2120144,-85.2235666
Creative Packaging,Vineland,NJ,United States,39.4863773,-75.02596369999999
Creative Packaging,Unadilla,GA,United States,32.2617127,-83.7365798
Creative Packaging,Chicago,IL,United States,41.8781136,-87.6297982
Creative Packaging,Ft. Worth,TX,United States,32.7554883,-97.3307658
Custom Pack,Phoenix,AZ,United States,33.4483771,-112.0740373
Insulated Products Corp (IPC),Eaton,PA,United States,41.5114731,-75.96954649999999
Magna LoBoy,Los Angeles,CA,United States,34.0549076,-118.242643
Speedling,Fort Walton,FL,United States,30.42007079999999,-86.6170308
Insulfoam LLC,Sun City,FL,United States,27.678254,-82.4787384
Insulfoam LLC,Tacoma,WA,United States,47.2528768,-122.4442906
Insulfoam LLC,Anchorage,AK,United States,61.2175758,-149.8996785
Insulfoam LLC,Kent,WA,United States,47.3830671,-122.234771
Insulfoam LLC,Dixon,CA,United States,38.4454641,-121.8232958
Insulfoam LLC,Chino,CA,United States,34.0122346,-117.688944
Insulfoam LLC,Salt Lake City,UT,United States,40.7607793,-111.8910474
Insulfoam LLC,Phoenix,AZ,United States,33.4483771,-112.0740373
Insulfoam LLC,Aurora,CO,United States,39.7294319,-104.8319195
Insulfoam LLC,Mead,NE,United States,41.2286493,-96.489212
Insulfoam LLC,Lakeland,FL,United States,28.0394654,-81.9498042
Alleguard - Huntington,Greer,SC,United States,34.9387279,-82.2270568
Alleguard - Huntington,Greenville,MI,United States,43.1775314,-85.2527987
Alleguard - Huntington,Radford,VA,United States,37.13179239999999,-80.5764477
Alleguard - Huntington,West Brookfield,MA,United States,42.2353463,-72.14116419999999
Alleguard - Huntington,Monticello,AR,United States,33.6296702,-91.8021856
Armstrong Brands,Buffalo,NY,United States,42.88644679999999,-78.8783689
EFP,Elkhart,IN,United States,41.6873832,-85.973517
